Fator de Falha (%)	Tempo Entre Descargas (min)	Duração de Descarga (s)	Nº de Peças Total	Nº de Peças Simultâneas
1,0	10	400	50	41
1,0	10	450	50	44
1,0	10	500	50	47
1,0	15	10	1	1
1,0	15	20	1	1
1,0	15	30	1	1
1,0	15	40	1	1
1,0	15	50	1	1
1,0	15	75	1	1
1,0	15	100	1	1
1,0	15	300	1	1
1,0	15	350	1	1
1,0	15	400	1	1
1,0	15	450	1	1
1,0	15	500	1	1
1,0	15	10	2	1
1,0	15	20	2	1
1,0	15	30	2	1
1,0	15	40	2	1
1,0	15	50	2	1
1,0	15	75	2	1
1,0	15	100	2	2
1,0	15	300	2	2
1,0	15	350	2	2
1,0	15	400	2	2
1,0	15	450	2	2
1,0	15	500	2	2
1,0	15	10	3	1
1,0	15	20	3	1
1,0	15	30	3	1
1,0	15	40	3	1
1,0	15	50	3	1
1,0	15	75	3	2
1,0	15	100	3	2
1,0	15	300	3	3
1,0	15	350	3	3
1,0	15	400	3	3
1,0	15	450	3	3
1,0	15	500	3	3
1,0	15	10	4	1
1,0	15	20	4	1
1,0	15	30	4	1
1,0	15	40	4	2
1,0	15	50	4	2
1,0	15	75	4	2
1,0	15	100	4	2
1,0	15	300	4	4
1,0	15	350	4	4
1,0	15	400	4	4
1,0	15	450	4	4
1,0	15	500	4	4
1,0	15	10	5	1
1,0	15	20	5	1
1,0	15	30	5	2
1,0	15	40	5	2
1,0	15	50	5	2
1,0	15	75	5	2
1,0	15	100	5	3
1,0	15	300	5	4
1,0	15	350	5	4
1,0	15	400	5	5
1,0	15	450	5	5
1,0	15	500	5	5
1,0	15	10	6	1
1,0	15	20	6	1
1,0	15	30	6	2
1,0	15	40	6	2
1,0	15	50	6	2
1,0	15	75	6	2
1,0	15	100	6	3
1,0	15	300	6	5
1,0	15	350	6	5
1,0	15	400	6	5
1,0	15	450	6	6
1,0	15	500	6	6
1,0	15	10	7	1
1,0	15	20	7	1
1,0	15	30	7	2
1,0	15	40	7	2
1,0	15	50	7	2
1,0	15	75	7	3
1,0	15	100	7	3
1,0	15	300	7	5
1,0	15	350	7	6
1,0	15	400	7	6
1,0	15	450	7	6
1,0	15	500	7	7
1,0	15	10	8	1
1,0	15	20	8	2
1,0	15	30	8	2
1,0	15	40	8	2
1,0	15	50	8	2
1,0	15	75	8	3
1,0	15	100	8	3
1,0	15	300	8	6
1,0	15	350	8	6
1,0	15	400	8	7
1,0	15	450	8	7
1,0	15	500	8	7
1,0	15	10	9	1
1,0	15	20	9	2
1,0	15	30	9	2
1,0	15	40	9	2
1,0	15	50	9	3
1,0	15	75	9	3
1,0	15	100	9	4
1,0	15	300	9	6
1,0	15	350	9	7
1,0	15	400	9	7
1,0	15	450	9	8
1,0	15	500	9	8
1,0	15	10	10	1
1,0	15	20	10	2
1,0	15	30	10	2
1,0	15	40	10	2
1,0	15	50	10	3
1,0	15	75	10	3
1,0	15	100	10	4
1,0	15	300	10	7
1,0	15	350	10	8
1,0	15	400	10	8
1,0	15	450	10	9
1,0	15	500	10	9
1,0	15	10	11	1
1,0	15	20	11	2
1,0	15	30	11	2
1,0	15	40	11	3
1,0	15	50	11	3
1,0	15	75	11	3
1,0	15	100	11	4
1,0	15	300	11	7
1,0	15	350	11	8
1,0	15	400	11	9
1,0	15	450	11	9
1,0	15	500	11	10
1,0	15	10	12	1
1,0	15	20	12	2
1,0	15	30	12	2
1,0	15	40	12	3
1,0	15	50	12	3
1,0	15	75	12	4
1,0	15	100	12	4
1,0	15	300	12	8
1,0	15	350	12	9
1,0	15	400	12	9
1,0	15	450	12	10
1,0	15	500	12	10
1,0	15	10	13	1
1,0	15	20	13	2
1,0	15	30	13	2
1,0	15	40	13	3
1,0	15	50	13	3
1,0	15	75	13	4
1,0	15	100	13	5
1,0	15	300	13	8
1,0	15	350	13	9
1,0	15	400	13	10
1,0	15	450	13	11
1,0	15	500	13	11
1,0	15	10	14	2
1,0	15	20	14	2
1,0	15	30	14	3
1,0	15	40	14	3
1,0	15	50	14	3
1,0	15	75	14	4
1,0	15	100	14	5
1,0	15	300	14	9
1,0	15	350	14	10
1,0	15	400	14	11
1,0	15	450	14	11
1,0	15	500	14	12
1,0	15	10	15	2
1,0	15	20	15	2
1,0	15	30	15	3
1,0	15	40	15	3
1,0	15	50	15	3
1,0	15	75	15	4
1,0	15	100	15	5
1,0	15	300	15	9
1,0	15	350	15	10
1,0	15	400	15	11
1,0	15	450	15	12
1,0	15	500	15	13
1,0	15	10	16	2
1,0	15	20	16	2
1,0	15	30	16	3
1,0	15	40	16	3
1,0	15	50	16	4
1,0	15	75	16	4
1,0	15	100	16	5
1,0	15	300	16	10
1,0	15	350	16	11
1,0	15	400	16	12
1,0	15	450	16	13
1,0	15	500	16	13
1,0	15	10	17	2
1,0	15	20	17	2
1,0	15	30	17	3
1,0	15	40	17	3
1,0	15	50	17	4
1,0	15	75	17	5
1,0	15	100	17	5
1,0	15	300	17	10
1,0	15	350	17	11
1,0	15	400	17	12
1,0	15	450	17	13
1,0	15	500	17	14
1,0	15	10	18	2
1,0	15	20	18	2
1,0	15	30	18	3
1,0	15	40	18	3
1,0	15	50	18	4
1,0	15	75	18	5
1,0	15	100	18	6
1,0	15	300	18	11
1,0	15	350	18	12
1,0	15	400	18	13
1,0	15	450	18	14
1,0	15	500	18	15
1,0	15	10	19	2
1,0	15	20	19	2
1,0	15	30	19	3
1,0	15	40	19	3
1,0	15	50	19	4
1,0	15	75	19	5
1,0	15	100	19	6
1,0	15	300	19	11
1,0	15	350	19	12
1,0	15	400	19	13
1,0	15	450	19	14
1,0	15	500	19	15
1,0	15	10	20	2
1,0	15	20	20	2
1,0	15	30	20	3
1,0	15	40	20	4
1,0	15	50	20	4
1,0	15	75	20	5
1,0	15	100	20	6
1,0	15	300	20	12
1,0	15	350	20	13
1,0	15	400	20	14
1,0	15	450	20	15
1,0	15	500	20	16
1,0	15	10	25	2
1,0	15	20	25	3
1,0	15	30	25	3
1,0	15	40	25	4
1,0	15	50	25	5
1,0	15	75	25	6
1,0	15	100	25	7
1,0	15	300	25	14
1,0	15	350	25	15
1,0	15	400	25	17
1,0	15	450	25	18
1,0	15	500	25	19
1,0	15	10	30	2
1,0	15	20	30	3
1,0	15	30	30	4
1,0	15	40	30	4
1,0	15	50	30	5
1,0	15	75	30	7
1,0	15	100	30	8
1,0	15	300	30	16
1,0	15	350	30	18
1,0	15	400	30	20
1,0	15	450	30	21
1,0	15	500	30	23
1,0	15	10	35	2
1,0	15	20	35	3
1,0	15	30	35	4
1,0	15	40	35	5
1,0	15	50	35	6
1,0	15	75	35	7
1,0	15	100	35	9
1,0	15	300	35	18
1,0	15	350	35	20
1,0	15	400	35	22
1,0	15	450	35	24
1,0	15	500	35	26
1,0	15	10	40	2
1,0	15	20	40	4
1,0	15	30	40	5
1,0	15	40	40	5
1,0	15	50	40	6
1,0	15	75	40	8
1,0	15	100	40	10
1,0	15	300	40	20
1,0	15	350	40	23
1,0	15	400	40	25
1,0	15	450	40	27
1,0	15	500	40	29
1,0	15	10	45	3
1,0	15	20	45	4
1,0	15	30	45	5
1,0	15	40	45	6
1,0	15	50	45	7
1,0	15	75	45	9
1,0	15	100	45	10
1,0	15	300	45	23
1,0	15	350	45	25
1,0	15	400	45	28
1,0	15	450	45	30
1,0	15	500	45	33
1,0	15	10	50	3
1,0	15	20	50	4
1,0	15	30	50	5
1,0	15	40	50	6
1,0	15	50	50	7
1,0	15	75	50	9
1,0	15	100	50	11
1,0	15	300	50	25
1,0	15	350	50	28
1,0	15	400	50	30
1,0	15	450	50	33
1,0	15	500	50	36
1,0	20	10	1	1
1,0	20	20	1	1
1,0	20	30	1	1
1,0	20	40	1	1
1,0	20	50	1	1
1,0	20	75	1	1
1,0	20	100	1	1
1,0	20	300	1	1
1,0	20	350	1	1
1,0	20	400	1	1
1,0	20	450	1	1
1,0	20	500	1	1
1,0	20	10	2	1
1,0	20	20	2	1
1,0	20	30	2	1
1,0	20	40	2	1
1,0	20	50	2	1
1,0	20	75	2	1
1,0	20	100	2	1
1,0	20	300	2	2
1,0	20	350	2	2
1,0	20	400	2	2
1,0	20	450	2	2
1,0	20	500	2	2
1,0	20	10	3	1
1,0	20	20	3	1
1,0	20	30	3	1
1,0	20	40	3	1
1,0	20	50	3	1
1,0	20	75	3	2
1,0	20	100	3	2
1,0	20	300	3	3
1,0	20	350	3	3
1,0	20	400	3	3
1,0	20	450	3	3
1,0	20	500	3	3
1,0	20	10	4	1
1,0	20	20	4	1
1,0	20	30	4	1
1,0	20	40	4	1
1,0	20	50	4	1
1,0	20	75	4	2
1,0	20	100	4	2
1,0	20	300	4	3
1,0	20	350	4	3
1,0	20	400	4	4
1,0	20	450	4	4
1,0	20	500	4	4
1,0	20	10	5	1
1,0	20	20	5	1
1,0	20	30	5	1
1,0	20	40	5	2
1,0	20	50	5	2
1,0	20	75	5	2
1,0	20	100	5	2
1,0	20	300	5	4
1,0	20	350	5	4
1,0	20	400	5	4
1,0	20	450	5	4
1,0	20	500	5	5
1,0	20	10	6	1
1,0	20	20	6	1
1,0	20	30	6	1
1,0	20	40	6	2
1,0	20	50	6	2
1,0	20	75	6	2
1,0	20	100	6	2
1,0	20	300	6	4
1,0	20	350	6	4
